0,1,2,3,4
141.9,12.34,48.42,66.94,269.6
195.39,16.1,63.31,90.24,365.04
222.38,16.94,63.47,102.86,405.65
241.03,20.47,68.42,117.62,447.54
363.88,29.02,90.87,144.88,628.65
451.73,25.83,84.22,151.15,712.93
242.55,19.39,49.35,120.61,431.9
170.3,15.05,37.63,95.29,318.27
136.52,11.66,29.36,72.24,249.78
108.52,11.14,26.6,60.57,206.83
122.67,11.61,35.93,59.33,229.54
109.15,12.23,31.57,64.45,217.4
147.04,12.37,37.29,70.69,267.39
102.61,9.2,24.22,49.42,185.45
80.16,8.58,20.46,41.16,150.36
88.22,13.01,23.5,60.79,185.52
116.18,11.85,25.2,60.75,213.98
112.35,10.15,29.13,57.29,208.92
89.77,7.54,18.61,42.95,158.87
75.72,6.97,18.39,35.82,136.9
64.93,9.43,18.84,38.75,131.95
91.55,8.8,20.52,42.51,163.38
64.9,5.9,13.86,30.5,115.16
47.86,4.97,10.62,25.58,89.03
38.12,5.69,10.17,24.7,78.68
48.9,6.78,12.08,27.52,95.28
54.27,6.6,11.86,30.37,103.1
48.89,6.65,11.22,27.5,94.26
50.81,10.92,14.67,37.14,113.54
96.89,11.33,17.69,47.86,173.77
80.66,7.78,13.18,39.29,140.91
62.11,8.4,13.3,38.86,122.67
76.8,7.13,15.57,35.56,135.06
49.32,5.29,10.19,24.85,89.65
49.72,6.84,13.08,26.17,95.81
58.82,6.13,13.8,24.44,103.19
42.87,6.54,10.52,21.81,81.74
51.87,8.49,12.91,27.58,100.85
66.79,7.95,12.87,30.23,117.84
48.46,10.18,11.63,35.11,105.38
130.96,14.76,23.62,52.65,221.99
158.62,15.17,33.33,71.76,278.88
172.02,14.31,31.81,68.26,286.4
101.63,9.53,19.06,43.26,173.48
74.91,8.45,15.22,34.79,133.37
128.92,12.83,36.59,59.76,238.1
238.9,17.09,55.11,67.98,379.08
139.85,15.63,28.92,44.45,228.85
98.7,12.54,20.85,38.12,170.21
83.8,11.11,17.93,34.46,147.3
69.56,13.41,18.89,31.34,133.2
89.34,15.36,23.34,40.76,168.8
67.92,9.37,14.77,29.64,121.7
46.57,6.9,10.47,21.59,85.53
34.82,6.67,8.86,17.69,68.04
114.54,14.1,45.09,50.13,223.86
118.19,13.57,30.26,38.73,200.75
90.47,9.73,21.04,27.84,149.08
53.17,6.98,13.26,19.84,93.25
39.97,6.69,11.1,17.81,75.57
35.61,7.46,10.32,21.32,74.71
70.89,9.37,11.68,26.67,118.61
182.88,16.9,35.94,75.52,311.24
126.26,10.48,27.35,39.24,203.33
87.28,11.53,22.99,29.62,151.42
99.43,11.56,23.09,36.71,170.79
71.08,8.03,16.24,24.81,120.16
55.99,8.29,15.61,22.34,102.23
127.81,11.28,18.2,62.62,219.91
85.26,7.1,13.06,30.38,135.8
45.3,5.41,9.19,19.56,79.46
31.49,4.99,7.79,15.43,59.7
29.67,5.79,8.02,15.66,59.14
38.83,5.96,9.03,18.27,72.09
32.29,4.47,7.35,13.79,57.9
28.22,3.65,5.65,10.37,47.89
24.83,3.16,4.75,8.57,41.31
21.05,2.7800000000000002,4.1,7.1,35.03
18.79,2.56,3.76,6.13,31.24
16.47,2.47,3.47,5.61,28.02
15.95,2.37,3.39,5.31,27.02
17.4,-99.0,3.32,4.71,25.43
19.09,-99.0,4.17,4.74,28.0
27.47,-99.0,7.2,6.15,40.82
41.89,-99.0,5.39,8.43,55.71
30.52,-99.0,6.09,8.91,45.52
126.06,-99.0,24.41,41.92,192.39
301.68,-99.0,31.94,108.12,441.74
204.59,-99.0,16.23,60.37,281.19
84.22,-99.0,9.37,27.34,120.93
55.92,-99.0,10.4,26.95,93.27
93.45,-99.0,13.07,30.22,136.74
60.74,-99.0,9.02,19.26,89.02
41.27,-99.0,6.49,13.9,61.66
70.22,-99.0,18.05,23.17,111.44
124.81,-99.0,21.44,25.79,172.04
79.07,-99.0,36.96,21.14,137.17
89.96,-99.0,31.14,20.75,141.85
152.41,-99.0,33.64,22.09,208.14
71.71,-99.0,16.42,14.94,103.07
57.46,-99.0,16.44,14.96,88.86
72.96,-99.0,16.69,18.44,108.09
67.58,-99.0,15.54,16.31,99.43
80.7,-99.0,20.23,23.31,124.24
77.55,-99.0,17.53,18.88,113.96
55.5,-99.0,11.65,13.73,80.88
39.33,-99.0,8.52,10.37,58.22
32.81,-99.0,6.94,8.44,48.19
28.39,-99.0,5.85,7.31,41.55
30.88,-99.0,9.93,8.76,49.57
60.47,-99.0,15.63,9.32,85.42
36.97,-99.0,9.28,7.82,54.07
71.26,-99.0,30.52,15.86,117.64
64.0,8.91,19.84,15.87,108.62
54.63,8.35,18.48,12.31,93.77
54.01,7.59,14.9,12.05,88.55
39.56,5.83,10.65,9.88,65.92
31.91,4.84,8.54,8.21,53.5
26.52,4.55,7.95,11.63,50.65
26.78,3.79,6.37,8.02,44.96
26.25,4.73,8.18,9.85,49.01
34.17,4.01,7.6,11.26,57.04
30.73,3.9699999999999998,6.63,11.45,52.78
29.7,3.5,5.8,8.47,47.47
24.34,3.16,5.01,6.71,39.22
20.97,2.99,4.35,5.76,34.07
17.94,3.58,4.07,5.63,31.22
21.06,5.36,5.88,18.27,50.57
32.56,3.74,4.83,12.63,53.76
24.66,3.25,4.14,8.45,40.5
20.24,2.93,3.75,6.68,33.6
17.27,2.67,3.43,5.59,28.96
14.96,2.52,2.92,4.96,25.36
13.77,2.5,2.8200000000000003,4.66,23.75
13.06,2.43,2.83,4.51,22.83
12.6,2.36,2.77,4.2,21.93
12.36,2.32,2.69,3.96,21.33
12.31,2.25,2.59,3.69,20.84
11.92,2.18,2.51,3.51,20.12
11.73,2.17,2.54,3.4,19.84
12.03,2.11,2.59,3.37,20.1
10.81,2.07,2.45,3.29,18.62
9.92,2.01,2.32,3.07,17.32
10.31,2.45,2.63,3.02,18.41
13.32,2.2800000000000002,2.83,3.29,21.72
11.45,2.13,2.47,3.04,19.09
9.91,2.05,2.32,2.81,17.09
8.96,2.0,2.24,2.7,15.9
8.69,2.0,2.21,2.71,15.61
8.09,1.97,2.12,3.05,15.23
7.75,2.18,2.03,2.99,14.95
8.16,2.7800000000000002,2.02,3.2,16.16
9.61,4.31,2.07,4.28,20.27
13.16,3.89,2.34,5.02,24.41
13.9,2.98,2.2,4.7,23.78
11.94,2.69,2.05,4.13,20.81
10.49,2.55,1.96,3.7800000000000002,18.78
10.28,2.5,2.02,3.79,18.59
10.51,2.37,2.1,3.58,18.56
9.75,2.25,2.09,3.47,17.56
8.15,2.19,1.9300000000000002,3.37,15.64
7.11,2.2,1.8399999999999999,3.29,14.44
6.51,3.47,2.8200000000000003,11.11,23.91
24.53,2.75,3.32,8.83,39.43
15.99,2.5700000000000003,2.5700000000000003,6.62,27.75
12.11,3.43,2.51,10.1,28.15
27.21,3.12,2.59,10.14,43.06
20.91,2.26,2.32,6.73,32.22
11.98,2.22,1.71,5.3,21.21
9.17,2.06,1.9,5.05,18.18
8.66,2.26,1.74,4.04,16.7
5.96,2.41,1.77,4.49,14.63
9.91,2.58,2.06,7.34,21.89
11.97,2.4,2.04,6.93,23.34
11.2,2.27,1.54,6.05,21.06
10.01,2.25,1.9300000000000002,5.64,19.83
9.54,2.16,1.3599999999999999,5.74,18.8
