Name	Linge	Juvvashøe	Balestrand	Sandane
Eier	Met.no	Met.no	NIBIO	Met.no
Point ID	22	23	24	25
Network	Rstats	Rstats	Rstats	Rstats
RefSystem	utm-33n	utm-33n	utm-33n	utm-33n
HOH	34	1894	15	51
02.08.1981	-99	-99	-99	-99
03.08.1981	-99	-99	-99	-99
04.08.1981	-99	-99	-99	-99
05.08.1981	-99	-99	-99	-99
06.08.1981	-99	-99	-99	-99
07.08.1981	-99	-99	-99	-99
08.08.1981	-99	-99	-99	-99
09.08.1981	-99	-99	-99	-99
10.08.1981	-99	-99	-99	-99
11.08.1981	-99	-99	-99	-99
12.08.1981	-99	-99	-99	-99
13.08.1981	-99	-99	-99	-99
14.08.1981	-99	-99	-99	-99
15.08.1981	-99	-99	-99	-99
16.08.1981	-99	-99	-99	-99
17.08.1981	-99	-99	-99	-99
18.08.1981	-99	-99	-99	-99
19.08.1981	-99	-99	-99	-99
20.08.1981	-99	-99	-99	-99
21.08.1981	-99	-99	-99	-99
22.08.1981	-99	-99	-99	-99
23.08.1981	-99	-99	-99	-99
24.08.1981	-99	-99	-99	-99
25.08.1981	-99	-99	-99	-99
26.08.1981	-99	-99	-99	-99
27.08.1981	-99	-99	-99	-99
28.08.1981	-99	-99	-99	-99
29.08.1981	-99	-99	-99	-99
30.08.1981	-99	-99	-99	-99
31.08.1981	-99	-99	-99	-99
01.09.1981	-99	-99	-99	-99
02.09.1981	-99	-99	-99	-99
03.09.1981	-99	-99	-99	-99
04.09.1981	-99	-99	-99	-99
05.09.1981	-99	-99	-99	-99
06.09.1981	-99	-99	-99	-99
07.09.1981	-99	-99	-99	-99
08.09.1981	-99	-99	-99	-99
09.09.1981	-99	-99	-99	-99
10.09.1981	-99	-99	-99	-99
11.09.1981	-99	-99	-99	-99
12.09.1981	-99	-99	-99	-99
13.09.1981	-99	-99	-99	-99
14.09.1981	-99	-99	-99	-99
15.09.1981	-99	-99	-99	-99
16.09.1981	-99	-99	-99	-99
17.09.1981	-99	-99	-99	-99
18.09.1981	-99	-99	-99	-99
19.09.1981	-99	-99	-99	-99
20.09.1981	-99	-99	-99	-99
21.09.1981	-99	-99	-99	-99
22.09.1981	-99	-99	-99	-99
23.09.1981	-99	-99	-99	-99
24.09.1981	-99	-99	-99	-99
25.09.1981	-99	-99	-99	-99
26.09.1981	-99	-99	-99	-99
27.09.1981	-99	-99	-99	-99
28.09.1981	-99	-99	-99	-99
29.09.1981	-99	-99	-99	-99
30.09.1981	-99	-99	-99	-99
01.10.1981	-99	-99	-99	-99
02.10.1981	-99	-99	-99	-99
03.10.1981	-99	-99	-99	-99
04.10.1981	-99	-99	-99	-99
05.10.1981	-99	-99	-99	-99
06.10.1981	-99	-99	-99	-99
07.10.1981	-99	-99	-99	-99
08.10.1981	-99	-99	-99	-99
09.10.1981	-99	-99	-99	-99
10.10.1981	-99	-99	-99	-99
11.10.1981	-99	-99	-99	-99
12.10.1981	-99	-99	-99	-99
13.10.1981	-99	-99	-99	-99
14.10.1981	-99	-99	-99	-99
15.10.1981	-99	-99	-99	-99
16.10.1981	-99	-99	-99	-99
17.10.1981	-99	-99	-99	-99
18.10.1981	-99	-99	-99	-99
19.10.1981	-99	-99	-99	-99
20.10.1981	-99	-99	-99	-99
21.10.1981	-99	-99	-99	-99
22.10.1981	-99	-99	-99	-99
23.10.1981	-99	-99	-99	-99
