Simulated output from ENKI model framework
Region:	Gaula
Input:	C:/Users\lokaladm_sverrbey\Documents\ENKI documents\Data\Gaula\DailyPointInputMet.nc
Output:	C:/Users\lokaladm_sverrbey\Documents\ENKI documents\Data\Gaula\Output.nc
Parameter dim index:	0
LeadTime dim index:	0
Ensemble dim index:	0
Spatial point index:	0
Created on:	2025-06-12 18:24
Variable:	Qstats_1	SimDischarge
	Reference	0
Missing:		-99
30.07.2000 00:00	2.56	2.84089
31.07.2000 00:00	2.47	2.47646
01.08.2000 00:00	2.37	2.14642
02.08.2000 00:00	-99	2.34215
03.08.2000 00:00	-99	3.20281
04.08.2000 00:00	-99	3.92171
05.08.2000 00:00	-99	4.02212
06.08.2000 00:00	-99	5.55095
07.08.2000 00:00	-99	10.2073
08.08.2000 00:00	-99	11.9475
09.08.2000 00:00	-99	9.27307
10.08.2000 00:00	-99	7.30095
11.08.2000 00:00	-99	7.96535
12.08.2000 00:00	-99	7.40224
13.08.2000 00:00	-99	5.90838
14.08.2000 00:00	-99	5.29799
15.08.2000 00:00	-99	7.03471
16.08.2000 00:00	-99	12.8251
17.08.2000 00:00	-99	13.9431
18.08.2000 00:00	-99	17.4688
19.08.2000 00:00	-99	18.0905
20.08.2000 00:00	-99	13.3579
21.08.2000 00:00	-99	11.1907
22.08.2000 00:00	-99	9.28089
23.08.2000 00:00	-99	8.75025
24.08.2000 00:00	-99	8.48027
25.08.2000 00:00	-99	6.70713
26.08.2000 00:00	-99	5.60114
27.08.2000 00:00	-99	4.80566
28.08.2000 00:00	-99	4.11955
29.08.2000 00:00	-99	3.82272
30.08.2000 00:00	-99	4.57163
31.08.2000 00:00	-99	4.9019
01.09.2000 00:00	-99	6.4076
02.09.2000 00:00	-99	8.99482
03.09.2000 00:00	8.91	8.39688
04.09.2000 00:00	8.35	7.21078
05.09.2000 00:00	7.59	6.06345
06.09.2000 00:00	5.83	5.20429
07.09.2000 00:00	4.84	4.63672
08.09.2000 00:00	4.55	4.15976
09.09.2000 00:00	3.79	4.23049
10.09.2000 00:00	4.73	4.32381
11.09.2000 00:00	4.01	3.85042
12.09.2000 00:00	3.97	3.35942
13.09.2000 00:00	3.5	2.87792
14.09.2000 00:00	3.16	2.45715
15.09.2000 00:00	2.99	2.13702
16.09.2000 00:00	3.58	2.12696
17.09.2000 00:00	5.36	2.0887
18.09.2000 00:00	3.74	1.80223
19.09.2000 00:00	3.25	1.53307
20.09.2000 00:00	2.93	1.30081
21.09.2000 00:00	2.67	1.09934
22.09.2000 00:00	2.52	0.956819
23.09.2000 00:00	2.5	0.864241
24.09.2000 00:00	2.43	0.812939
25.09.2000 00:00	2.36	0.805422
26.09.2000 00:00	2.32	0.797408
27.09.2000 00:00	2.25	0.789474
28.09.2000 00:00	2.18	0.784555
29.09.2000 00:00	2.17	0.779675
30.09.2000 00:00	2.11	0.771917
01.10.2000 00:00	2.07	0.764236
02.10.2000 00:00	2.01	0.830604
03.10.2000 00:00	2.45	0.838003
04.10.2000 00:00	2.28	0.761832
05.10.2000 00:00	2.13	0.752894
06.10.2000 00:00	2.05	0.745542
07.10.2000 00:00	2	0.738506
08.10.2000 00:00	2	0.732021
09.10.2000 00:00	1.97	0.726865
10.10.2000 00:00	2.18	0.726204
11.10.2000 00:00	2.78	0.860979
12.10.2000 00:00	4.31	1.11539
13.10.2000 00:00	3.89	1.14452
14.10.2000 00:00	2.98	0.964132
15.10.2000 00:00	2.69	0.808538
16.10.2000 00:00	2.55	0.749076
17.10.2000 00:00	2.5	0.849625
18.10.2000 00:00	2.37	0.920105
19.10.2000 00:00	2.25	0.812782
20.10.2000 00:00	2.19	0.731889
21.10.2000 00:00	2.2	1.48908
22.10.2000 00:00	3.47	2.10416
23.10.2000 00:00	2.75	1.86256
24.10.2000 00:00	2.57	1.8901
25.10.2000 00:00	3.43	2.09687
26.10.2000 00:00	3.12	1.98169
27.10.2000 00:00	2.26	1.67869
28.10.2000 00:00	2.22	1.4172
29.10.2000 00:00	2.06	1.19698
30.10.2000 00:00	2.26	1.00871
31.10.2000 00:00	2.41	0.833898
01.11.2000 00:00	2.58	0.751522
02.11.2000 00:00	2.4	0.743227
03.11.2000 00:00	2.27	0.736522
04.11.2000 00:00	2.25	0.729883
05.11.2000 00:00	2.16	0.722665
06.11.2000 00:00	2.07	0.715495
07.11.2000 00:00	1.92	0.708375
08.11.2000 00:00	2.59	0.752414
09.11.2000 00:00	2.35	0.743976
10.11.2000 00:00	2.22	0.70093
11.11.2000 00:00	2.1	0.694587
12.11.2000 00:00	2.12	0.70689
13.11.2000 00:00	2.31	0.713065
14.11.2000 00:00	1.92	0.688215
15.11.2000 00:00	2.08	0.681997
16.11.2000 00:00	2.35	0.675211
17.11.2000 00:00	2.52	0.671456
18.11.2000 00:00	2.13	0.719719
19.11.2000 00:00	1.93	0.722264
20.11.2000 00:00	2.08	0.677613
21.11.2000 00:00	1.97	0.66223
22.11.2000 00:00	1.76	0.655487
23.11.2000 00:00	1.99	0.649178
24.11.2000 00:00	1.93	0.643098
25.11.2000 00:00	2.07	0.636897
26.11.2000 00:00	1.84	0.630619
27.11.2000 00:00	1.84	0.624403
